direction,open_time,entry_price,initial_stop_loss,stop_loss,tp1,tp2,tp3,risk_percent,score,reasons,nearest_high_above,nearest_high_below,nearest_low_above,nearest_low_below,breakeven_active,breakeven_time,tp1_hit,tp1_time,tp2_hit,tp2_time,tp3_hit,tp3_time,max_profit_lock_level,candles_in_trade,close_time,close_price,close_reason,rr,result_percent,balance_before,balance_after
SELL,2024-06-28 04:15:00+00:00,2320.07,2328.51,2328.51,2311.63,2303.19,2294.75,1.0,90,"['H4 bearish context', 'H1 bearish trend', 'M15 bearish timing', 'Distance filter OK']",SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_HIGH price=2318.21 zone=(2318.21-2318.21) touches=1 strength=1,SWING_LOW price=2320.63 zone=(2320.63-2320.63) touches=1 strength=1,SWING_LOW price=2317.50 zone=(2317.50-2317.50) touches=1 strength=1,False,,False,,False,,False,,0,17,2024-06-28 08:30:00+00:00,2324.53,EXIT SIGNAL,-0.5284360189573468,-0.5284360189573468,1000,994.7156398104265
SELL,2024-06-28 09:00:00+00:00,2325.77,2328.31,2328.31,2323.23,2320.69,2318.15,1.0,75,"['H4 bearish context', 'H1 bearish trend', 'H1 bearish structure', 'Distance filter OK']",SWING_HIGH price=2328.31 zone=(2328.31-2328.31) touches=1 strength=1,SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,False,,False,,False,,False,,0,3,2024-06-28 09:45:00+00:00,2327.4,EXIT SIGNAL,-0.6417322834646191,-0.6417322834646191,994.7156398104265,988.3322284210914
SELL,2024-06-28 18:00:00+00:00,2326.45,2328.31,2328.31,2324.5899999999997,2322.7299999999996,2320.8699999999994,1.0,90,"['H4 bearish context', 'H1 bearish trend', 'M15 bearish timing', 'Distance filter OK']",SWING_HIGH price=2328.31 zone=(2328.31-2328.31) touches=1 strength=1,SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,False,,False,,False,,False,,0,1,2024-06-28 18:15:00+00:00,2328.31,STOP LOSS,-1.0,-1.0,988.3322284210914,978.4489061368804
SELL,2024-06-28 21:15:00+00:00,2328.0,2339.73,2339.73,2316.27,2304.54,2292.81,1.0,90,"['H4 bearish context', 'H1 bearish trend', 'M15 bearish timing', 'Distance filter OK']",SWING_HIGH price=2328.31 zone=(2328.31-2328.31) touches=1 strength=1,SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,False,,False,,False,,False,,0,25,2024-07-01 04:30:00+00:00,2326.37,EXIT SIGNAL,0.13895993179881558,0.13895993179881558,978.4489061368804,979.8085580695346
SELL,2024-07-01 05:15:00+00:00,2326.44,2326.95,2325.4200000000005,2325.9300000000003,2325.4200000000005,2324.9100000000008,1.0,75,"['H4 bearish context', 'H1 bearish trend', 'H1 bearish structure', 'Distance filter OK']",SWING_HIGH price=2326.95 zone=(2326.95-2326.95) touches=1 strength=1,SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,True,2024-07-01 05:30:00+00:00,True,2024-07-01 05:30:00+00:00,True,2024-07-01 05:30:00+00:00,True,2024-07-01 05:30:00+00:00,2,2,2024-07-01 05:45:00+00:00,2325.4200000000005,PROFIT LOCK TP2,2.0,2.0,979.8085580695346,999.4047292309252
SELL,2024-07-01 06:00:00+00:00,2326.64,2326.95,2326.95,2326.33,2326.02,2325.71,1.0,75,"['H4 bearish context', 'H1 bearish trend', 'H1 bearish structure', 'Distance filter OK']",SWING_HIGH price=2326.95 zone=(2326.95-2326.95) touches=1 strength=1,SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,False,,False,,False,,False,,0,1,2024-07-01 06:15:00+00:00,2326.95,STOP LOSS,-1.0,-1.0,999.4047292309252,989.410681938616
SELL,2024-07-01 07:45:00+00:00,2322.09,2328.58,2328.58,2315.6000000000004,2309.1100000000006,2302.620000000001,1.0,90,"['H4 bearish context', 'H1 bearish trend', 'M15 bearish timing', 'Distance filter OK']",SWING_HIGH price=2323.76 zone=(2323.76-2323.76) touches=1 strength=1,SWING_HIGH price=2318.21 zone=(2318.21-2318.21) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,SWING_LOW price=2323.18 zone=(2323.18-2323.18) touches=1 strength=1,False,,False,,False,,False,,0,7,2024-07-01 09:30:00+00:00,2328.58,STOP LOSS,-1.0,-1.0,989.410681938616,979.5165751192299
BUY,2024-07-01 19:30:00+00:00,2330.72,2319.31,2319.31,2342.1299999999997,2353.5399999999995,2364.9499999999994,1.0,80,"['H1 bullish trend', 'H1 bullish structure', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=2328.31 zone=(2328.31-2328.31) touches=1 strength=1,SWING_HIGH price=2326.95 zone=(2326.95-2326.95) touches=1 strength=1,SWING_LOW price=2355.11 zone=(2355.11-2355.11) touches=1 strength=1,SWING_LOW price=2326.65 zone=(2326.65-2326.65) touches=1 strength=1,False,,False,,False,,False,,0,39,2024-07-02 06:15:00+00:00,2329.74,EXIT SIGNAL,-0.08588957055214994,-0.08588957055214994,979.5165751192299,978.6752725393728
BUY,2024-07-03 08:15:00+00:00,2335.01,2326.85,2351.330000000001,2343.1700000000005,2351.330000000001,2359.490000000001,1.0,80,"['H1 bullish trend', 'H1 bullish structure', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=2334.33 zone=(2334.33-2334.33) touches=1 strength=1,SWING_HIGH price=2332.70 zone=(2332.70-2332.70) touches=1 strength=1,None,SWING_LOW price=2326.85 zone=(2326.85-2326.85) touches=1 strength=1,True,2024-07-03 10:15:00+00:00,True,2024-07-03 10:15:00+00:00,True,2024-07-03 15:30:00+00:00,True,2024-07-03 17:00:00+00:00,2,93,2024-07-04 08:30:00+00:00,2356.47,EXIT SIGNAL,2.6299019607841627,2.6299019607841627,978.6752725393728,1004.4134727215956
BUY,2024-07-04 11:00:00+00:00,2357.51,2353.64,2357.51,2361.3800000000006,2365.250000000001,2369.1200000000013,1.0,90,"['H4 bullish context', 'H1 bullish trend', 'M15 bullish timing', 'Distance filter OK']",SWING_HIGH price=2362.56 zone=(2362.56-2362.56) touches=1 strength=1,SWING_HIGH price=2339.73 zone=(2339.73-2339.73) touches=1 strength=1,None,SWING_LOW price=2353.64 zone=(2353.64-2353.64) touches=1 strength=1,True,2024-07-04 17:15:00+00:00,True,2024-07-04 17:15:00+00:00,False,,False,,0,29,2024-07-04 18:15:00+00:00,2357.51,BREAKEVEN,0.0,0.0,1004.4134727215956,1004.4134727215956
